,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
1227,"__link__ Sasin, odmrażanie sportu i mandaty z fotoradarów",,86,1.0,1.0,2.2,2.2,1.0,1.0,2.4,1.8,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.35,0.2,0.7028090943480242,0.9023972241428534,0.2360955424422346,0.700057576764872,0.7521940272312464,0.8114075297411351,0.2920581185084002,0.7992262525448753,5.196245365723642
1439,Prezes Rejonowego Przedsiębiorstwa Wodociągów i Kanalizacji w Dąbrowie Tarnowskiej spędził dwa dni w siedzibie spółki. Nie zgadza się z decyzją Rady Nadzorczej o jego odwołaniu. Sasin może dłużej?,twitter,87,1.0,1.2,3.2,1.8,1.2,1.0,2.0,3.0,2.0,0.0,0.0499999999999999,0.55,0.2,0.0499999999999999,0.0,0.25,0.5,0.7028090943480242,0.6159360134212288,1.1981444637568175,0.2177881870800934,0.4075242569935894,0.8114075297411351,0.7274642908216074,0.8026442599062428,5.483718096068738
1762,"Minister Sasin tłumaczy w TVP, że gazu z Rosji nie zablokowali, pod dyktando Korwina oczywiście, żeby LPG nie podrożało na stacjach benzynowych. No jak to? Przecież cały elektorat chce mieć gaz za 10 złotych dla dobra Ukrainy.",twitter,8,1.0,1.6,3.2,1.8,1.2,1.0,2.0,2.8,3.0,0.0,0.15,0.55,0.2,0.0499999999999999,0.0,0.25,0.4499999999999999,0.7028090943480242,0.0430135919779793,1.1981444637568175,0.2177881870800934,0.4075242569935894,0.8114075297411351,0.7274642908216074,0.5356658411643895,4.643817255883636
1918,"W Polsce inne prawo obowiązuje nas wszystkich, a inne członków PiS. Jak masz ich legitymację partyjną to koledzy wybronią Cię ze wszystkiego. Sasin, Szumowski, Morawiecki i inni - wszystkim znikały albo pojawiał się miliony i nic. Rosyjski model budowania „elit”.",twitter,3,1.0,3.0,4.4,4.4,2.4,1.0,1.4,3.6,2.0,0.0,0.5,0.8500000000000001,0.8500000000000001,0.35,0.0,0.0999999999999999,0.65,0.7028090943480242,1.9622148830733928,2.352603169334317,3.352539220031154,1.660494364432353,0.8114075297411351,1.3805735492914184,1.603579516131802,13.826221326383596
1955,"Widzę, że pan prof. Sasin zaczął czytać ustawę, którą ma realizować _link_ ",twitter,80,1.0,1.0,1.8,2.4,1.0,1.4,2.0,2.8,4.0,0.0,0.0,0.2,0.35,0.0,0.0999999999999999,0.25,0.4499999999999999,0.7028090943480242,0.9023972241428534,0.1487240260835985,0.9411922716072608,0.7521940272312464,0.3512211860897234,0.7274642908216074,0.5356658411643895,5.061667961488704
2361,"Jacek Sasin: kontrola NIK potwierdzi, że organizacja wyborów była prawidłowa...a te 70 mln to tylko zwykła strata Poczty Polskiej?",twitter,85,1.4,2.0,3.2,2.0,2.4,1.6,2.0,2.6,1.0,0.0999999999999999,0.25,0.55,0.25,0.35,0.15,0.25,0.4,0.2727070070755918,0.5299088294652698,1.1981444637568175,0.4589228819224826,1.660494364432353,0.1211280142640174,0.7274642908216074,0.2686874224225369,5.237457274160676
3001,"Lotos miał prawie 1,4 mld zł straty netto w pierwszej połowie tego roku.....Sasin coś ?",twitter,52,1.2,2.2,3.0,1.8,2.2,1.0,2.0,2.6,3.0,0.0499999999999999,0.3,0.5,0.2,0.3,0.0,0.25,0.4,0.487758050711808,0.8163700401868949,1.0057346794939006,0.2177881870800934,1.3158245941946964,0.8114075297411351,0.7274642908216074,0.2686874224225369,5.651034794652673
3338,"""Nie będzie przemiału kart do głosowania, one są doskonale zabezpieczone"" - mówi Jacek Sasin. Nowym potencjalnie kandydatom wybijemy z głowy kandydowanie?",twitter,17,1.0,1.8,3.6,3.0,1.8,1.4,1.8,3.0,3.0,0.0,0.2,0.65,0.5,0.2,0.0999999999999999,0.2,0.5,0.7028090943480242,0.2434476187436453,1.5829640322826504,1.6645963561344286,0.626485053719382,0.3512211860897234,0.945167376978211,0.8026442599062428,6.919334978202309
3361,"minister aktywów państwowych Jacek Sasin powiedział, że w wielkich polskich firmach jest obecnie witalność i chęć rozwoju. Podkreślił, że jest to kompatybilne z polityką rządu, który stawia na małe i średnie przedsiębiorstwa oraz na rozwój spółek Skarbu Państwa.",twitter,71,2.4,1.0,1.0,1.0,1.0,1.6,3.4,1.8,0.0,0.35,0.0,0.0,0.0,0.0,0.15,0.6,0.2,0.8025482111054892,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.1211280142640174,0.796457312274618,0.7992262525448753,5.839064796987828
3595,Sasin: Skutki podwyżek cen gazu zostaną rozłożone w czasie...tak jak obiecane parę lat temu rekompensaty za wzrost cen energii?,twitter,35,1.0,1.6,2.8,1.4,1.2,1.4,2.0,2.4,1.0,0.0,0.15,0.4499999999999999,0.0999999999999999,0.0499999999999999,0.0999999999999999,0.25,0.35,0.7028090943480242,0.0430135919779793,0.813324895230984,0.2644812026046851,0.4075242569935894,0.3512211860897234,0.7274642908216074,0.0017090036806836,3.311547521747276
3641,"Ten Soboń, to taki nowy Sasin? #Turów",twitter,46,1.2,1.0,2.2,1.6,1.0,1.0,2.2,2.2,3.0,0.0499999999999999,0.0,0.3,0.15,0.0,0.0,0.3,0.3,0.487758050711808,0.9023972241428534,0.2360955424422346,0.0233465077622956,0.7521940272312464,0.8114075297411351,0.5097612046650035,0.2652694150611691,3.9882295017577456
3703,Akurat w Igrzyskach pan Sasin jest doskonały. Świetny wybór. Sponsorem głównym powinna zostać Poczta Polska.,twitter,53,1.8,1.2,3.2,3.4,1.0,1.6,1.8,3.0,5.0,0.2,0.0499999999999999,0.55,0.6,0.0,0.15,0.2,0.5,0.1573950801968407,0.6159360134212288,1.1981444637568175,2.146865745819207,0.7521940272312464,0.1211280142640174,0.945167376978211,0.8026442599062428,6.739474981573812
3878,"Sasin wie? Minister rozwoju o cenach energii: Jeżeli zabierzemy jakiejś spółce, to ona nie wybuduje farmy wiatrowej",twitter,46,1.0,1.4,2.2,1.4,1.4,1.0,2.6,2.6,1.0,0.0,0.0999999999999999,0.3,0.0999999999999999,0.0999999999999999,0.0,0.4,0.4,0.7028090943480242,0.3294748026996042,0.2360955424422346,0.2644812026046851,0.0628544867559323,0.8114075297411351,0.0743550323517963,0.2686874224225369,2.750165113365949
4255,"Jeszcze niedawno spodziewano się wzrostu produkcji energii w Polsce, tymczasem mamy do czynienia z jej rekordowym spadkiem. Powodów jest kilka, ale najważniejszym są wysokie koszty produkcji w polskich elektrowniach. Pytanie do PAD PMM Sasin- co dalej?",twitter,0,1.0,1.6,2.0,1.2,2.2,1.0,2.4,2.2,0.0,0.0,0.15,0.25,0.0499999999999999,0.3,0.0,0.35,0.3,0.7028090943480242,0.0430135919779793,0.0436857581793179,0.5056158974470742,1.3158245941946964,0.8114075297411351,0.2920581185084002,0.2652694150611691,3.979683999457796
4739,"Pan min.Sasin wini lekarzy za nieprzygotowanie do walki z epidemią i zarzuca im tchórzostwo.Nasz dzielny rząd, gdyby tylko mógł, to chętnie sam by respiratory podłączał. A skoro nie może to przytulił nagrody za taką heroiczną chęć. I jest już do epidemii materialnie przygotowany.",twitter,74,1.0,2.6,4.4,3.4,1.2,1.4,1.4,3.4,3.0,0.0,0.4,0.8500000000000001,0.6,0.0499999999999999,0.0999999999999999,0.0999999999999999,0.6,0.7028090943480242,1.389292461630144,2.352603169334317,2.146865745819207,0.4075242569935894,0.3512211860897234,1.3805735492914184,1.3366010973899487,10.067490560896372
5083,A pan Jacek Sasin pocztowcom wiadomość __link__,,23,1.2,1.0,1.4,1.0,1.0,1.0,3.0,1.2,2.0,0.0499999999999999,0.0,0.0999999999999999,0.0,0.0,0.0,0.5,0.0499999999999999,0.487758050711808,0.9023972241428534,0.5335435946094318,0.7467505922894634,0.7521940272312464,0.8114075297411351,0.3610511399614108,1.6001615087704344,6.195263667457784
5706,"Szacuje się, że niezrealizowany blok Elektrowni Ostrołęka to strata ok. 1 mld zł dla budżetu państwa. Sasin cos ? cokolwiek?",twitter,99,1.0,2.0,2.2,1.6,1.2,1.4,2.2,2.2,1.0,0.0,0.25,0.3,0.15,0.0499999999999999,0.0999999999999999,0.3,0.3,0.7028090943480242,0.5299088294652698,0.2360955424422346,0.0233465077622956,0.4075242569935894,0.3512211860897234,0.5097612046650035,0.2652694150611691,3.0259360368273094
7013,Nie ma już ministra od gospodarki Gowina i wzrośnie rola Ministra od spółek Sasina - szczególnie w budowaniu zaplecza w Parlamencie ?,twitter,91,1.0,1.2,2.0,1.8,1.2,1.0,2.2,2.2,3.0,0.0,0.0499999999999999,0.25,0.2,0.0499999999999999,0.0,0.3,0.3,0.7028090943480242,0.6159360134212288,0.0436857581793179,0.2177881870800934,0.4075242569935894,0.8114075297411351,0.5097612046650035,0.2652694150611691,3.574181459489561
7545,"„Od stycznia ceny prądu dla gospodarstw domowych wzrosły średnio o 12 procent. Rząd obiecywał, że na początku przyszłego roku odda nam za to pieniądze. Teraz w rozmowie z dziennikarzami RMF FM wicepremier Jacek Sasin przyznaje, że niekoniecznie.” _link_ ",twitter,83,1.0,1.4,2.6,1.4,1.4,1.0,2.2,2.6,1.0,0.0,0.0999999999999999,0.4,0.0999999999999999,0.0999999999999999,0.0,0.3,0.4,0.7028090943480242,0.3294748026996042,0.6209151109680676,0.2644812026046851,0.0628544867559323,0.8114075297411351,0.5097612046650035,0.2686874224225369,3.570390854204989
