item,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M
Ochrona środowiska jest bardzo ważna we współczesnym świecie,0.09252229332923889,0.1339058130979538,0.030291128903627396,0.00993202906101942,0.12343306839466095,0.14494560658931732,0.47922176122665405,0.2261551469564438
Powinniśmy zrezygnować z zanieczyszczających środowisko źródeł energii,0.026648256927728653,0.3210377097129822,0.22151826322078705,0.05963963270187378,0.1306227743625641,0.0855896845459938,0.3400702476501465,0.28913551568984985
Regulacje środowiskowe są potrzebne,0.04981698468327522,0.06433293968439102,0.09297093003988266,0.01851631887257099,0.07918477803468704,0.09614280611276627,0.4685347080230713,0.2093401402235031
Państwo powinno przeciwdziałać globalnemu ociepleniu,0.0327322781085968,0.1499173492193222,0.09228389710187912,0.02895437180995941,0.3394303321838379,0.058240652084350586,0.3965247571468353,0.23776622116565704
Człowiek przykłada obecnie zbyt dużą wagę do ochrony zwierząt hodowlanych,0.012102722190320492,0.36954787373542786,0.38822171092033386,0.1590527892112732,0.11259199678897858,0.026814406737685204,0.2375510036945343,0.3292483687400818
Segregacja śmieci powinna być obowiązkiem,0.06190939247608185,0.1625732183456421,0.26467713713645935,0.04692023620009422,0.09457934647798538,0.158855140209198,0.41829752922058105,0.3178289830684662
Należy zmniejszyć produkcje mięsa,0.031043723225593567,0.13788075745105743,0.09983503818511963,0.027395712211728096,0.11656937003135681,0.048589568585157394,0.41315576434135437,0.21966664493083954
Złym jest samo istnienie państwa,0.012556136585772038,0.4705967903137207,0.3447672724723816,0.17229007184505463,0.15777890384197235,0.029432542622089386,0.23163414001464844,0.3349808156490326
W trakcie kryzysu autorytaryzm jest lepszy od demokracji,0.016113704070448875,0.21750175952911377,0.26486077904701233,0.19352538883686066,0.18790975213050842,0.02481216937303543,0.2931414842605591,0.2985282838344574
Czystość rasowa jest lepsza od mieszania się ras,0.12261970341205597,0.09236840903759003,0.14331375062465668,0.07669850438833237,0.07761381566524506,0.14861395955085754,0.47910311818122864,0.2559262812137604
Aborcja powinna być legalna na życzenie,0.018940171226859093,0.17681999504566193,0.3300223648548126,0.09677698463201523,0.12852144241333008,0.05307605862617493,0.3410188555717468,0.30194011330604553
Państwo powinno poczynić dodatkowe starania w celu ograniczenia dostępu do pornografii nieletnim,0.028445394709706306,0.18342798948287964,0.3666514754295349,0.0963553786277771,0.17260171473026276,0.09871400892734528,0.3243471682071686,0.3455982506275177
Ustrój państwa powinien być oparty na zasadach szerokiej decentralizacji,0.035983942449092865,0.08986583352088928,0.08201724290847778,0.02175927348434925,0.06311254948377609,0.08295799046754837,0.46272212266921997,0.16399462521076202
Prawo Pracy powinno zostać zniesione lub mocno ograniczone,0.012120049446821213,0.2240155041217804,0.2561555802822113,0.07375014573335648,0.10793750733137131,0.03195924684405327,0.32604601979255676,0.2221742868423462
Związki partnerskie pomiędzy osobami tej samej płci powinny być legalne,0.048548705875873566,0.05632249265909195,0.1900123953819275,0.057872142642736435,0.04110923036932945,0.09756266325712204,0.43197882175445557,0.25862982869148254
Symbole narodowe mają dużą wartość,0.22401908040046692,0.08250664919614792,0.03415367007255554,0.013707136735320091,0.025175297632813454,0.38485297560691833,0.5803834795951843,0.22262269258499146
Wychowywanie w duchu tradycyjnych wartości jest kluczowe dla istnienia i rozwoju społeczeństwa,0.20844483375549316,0.051550623029470444,0.031370602548122406,0.012782267294824123,0.05678222328424454,0.39058172702789307,0.5901029109954834,0.25288376212120056
Osoby o innej religii niż moja stwarzają zagrożenie dla porządku publicznego,0.009943170472979546,0.19732666015625,0.30678799748420715,0.18882928788661957,0.2748527228832245,0.024806808680295944,0.2722295820713043,0.2704310119152069
Władza musi być zakorzeniona w tradycji,0.03285226225852966,0.126148983836174,0.18181462585926056,0.0515407919883728,0.06778581440448761,0.10885893553495407,0.40741047263145447,0.23721735179424286
Rola państwa powinna zostać maksymalnie ograniczona,0.03559162840247154,0.11298143118619919,0.13903723657131195,0.030973127111792564,0.08976543694734573,0.09519769996404648,0.4180900752544403,0.2279253900051117
Obywatele powinni mieć łatwy dostęp do broni,0.031800732016563416,0.16847941279411316,0.28865787386894226,0.06750501692295074,0.2866772413253784,0.10236296057701111,0.36899611353874207,0.32410067319869995
Popieram zagwarantowanie obowiązkowej reprezentacji pracowników w zarządach prywatnych firm,0.13090795278549194,0.025573071092367172,0.04625735804438591,0.015087820589542389,0.02381482906639576,0.25532403588294983,0.5508855581283569,0.17743730545043945
"Zawsze popierałbym moje państwo, bez względu na to czy postępuje właściwie",0.1739242672920227,0.10905282944440842,0.13424496352672577,0.03956931084394455,0.05429280176758766,0.4790951907634735,0.5185561776161194,0.3065609335899353
Bycie dumnym ze swojego pochodzenia jest nieuzasadnione,0.046300407499074936,0.20494604110717773,0.35661187767982483,0.16712838411331177,0.02501741424202919,0.16716475784778595,0.32445359230041504,0.3398941457271576
Kościół nie powinien mieć większego wpływu na państwo niż inne organizacje,0.010705654509365559,0.2160697728395462,0.4199617803096771,0.15530851483345032,0.12149227410554886,0.029743589460849762,0.2649114429950714,0.2982957661151886
W szkołach publicznych powinno zakazać się nauczania religii,0.020026758313179016,0.16248802840709686,0.3104635775089264,0.05912404879927635,0.14748094975948334,0.07924686372280121,0.34087446331977844,0.2958544194698334
Państwo powinno tworzyć program nauczania według którego muszą uczyć wszystkie szkoły,0.029628349468111992,0.1406579166650772,0.3724595904350281,0.068309485912323,0.11358548700809479,0.12047244608402252,0.3649103045463562,0.3302757143974304
Służba wojskowa powinna być obowiązkowa,0.04102788120508194,0.10566502809524536,0.1990952044725418,0.05519261583685875,0.08395666629076004,0.1550597995519638,0.4064706563949585,0.29392820596694946
Nieheteroseksualizm jest czymś co należy zwalczać/leczyć,0.02664526365697384,0.17568229138851166,0.33593374490737915,0.2371399849653244,0.0937308743596077,0.08310957252979279,0.3062189817428589,0.3367791175842285
Popieram depenalizację miękkich narkotyków,0.16060441732406616,0.031155459582805634,0.054293300956487656,0.021062269806861877,0.0324576273560524,0.2660202085971832,0.563772976398468,0.20452265441417694
Rząd w pewnych sytuacjach powinien móc ograniczać wolność obywateli (np. w celu ochrony przed terroryzmem),0.013765172101557255,0.13686387240886688,0.18512660264968872,0.08495108783245087,0.15759968757629395,0.0309765562415123,0.3679697811603546,0.20543894171714783
Rząd powinien promować patriotyzm oraz kulturę mojego narodu,0.19447125494480133,0.051501449197530746,0.060148146003484726,0.025428956374526024,0.026233723387122154,0.4003593623638153,0.5650925040245056,0.25442737340927124
Silna armia jest potrzebna,0.1566612422466278,0.11650557070970535,0.08174768835306168,0.029578963294625282,0.15577614307403564,0.34197747707366943,0.4846310019493103,0.31867173314094543
Należy dążyć do utworzenia rządu światowego,0.056191761046648026,0.07240303605794907,0.0448032021522522,0.015539424493908882,0.13349959254264832,0.08834397792816162,0.4556974470615387,0.18803097307682037
Wolność człowieka kończy się tam gdzie zaczyna się wolność drugiego,0.04445803165435791,0.3164942264556885,0.12395627796649933,0.04529991373419762,0.13625149428844452,0.14019398391246796,0.3887186646461487,0.25955474376678467
Silna władza jest potrzebna by utrzymać porządek w kraju,0.06398794800043106,0.1275896281003952,0.19556914269924164,0.0688524842262268,0.26802659034729004,0.1633378267288208,0.39577755331993103,0.30564138293266296
Obywatelstwo powinno być przyznawane jedynie obcokrajowcom znającym historię narodu,0.026783019304275513,0.08804398775100708,0.17437991499900818,0.05744563788175583,0.050776153802871704,0.07889346033334732,0.40721458196640015,0.2080019861459732
"Społeczeństwo nie powinno dążyć do zacierania różnic między płciami, lecz większego eksponowania cech męskich i żeńskich",0.058604467660188675,0.08621194213628769,0.12931710481643677,0.06669405102729797,0.05733073875308037,0.11973676085472107,0.45598962903022766,0.24803875386714935
Patenty nie powinny istnieć,0.012142210267484188,0.1631452739238739,0.4547377824783325,0.25825679302215576,0.08124371618032455,0.020811652764678,0.23183980584144592,0.3621407151222229
Państwo powinno przeciwdziałać prywatnym monopolom,0.022824406623840332,0.10353990644216537,0.19302599132061005,0.052269332110881805,0.08327692747116089,0.05178690701723099,0.4044862389564514,0.20709118247032166
Małżeństwa powinny zostać zniesione,0.023138828575611115,0.1470649689435959,0.17454566061496735,0.0584210604429245,0.04804151505231857,0.04716920852661133,0.38229838013648987,0.21122558414936066
"Postęp techniczny jest pożądany, nawet jeżeli prowadzi do gruntownych zmian społecznych, lub środowiskowych",0.08436843752861023,0.09670897573232651,0.04522380605340004,0.01774612069129944,0.056460823863744736,0.1364671140909195,0.49689045548439026,0.18363268673419952
Defilady wojskowe są potrzebne,0.12015961110591888,0.04665433615446091,0.08753841370344162,0.030971495434641838,0.055565301328897476,0.19147832691669464,0.508545458316803,0.25300344824790955
Władza powinna skupiać się w rękach jednej partii,0.025441939011216164,0.15187156200408936,0.22003497183322906,0.07698734849691391,0.07414788752794266,0.08691719174385071,0.3821844458580017,0.2413472831249237
Inwigilacja przez rząd jest pożądana,0.049186334013938904,0.09551483392715454,0.180326446890831,0.09966102242469788,0.08530254662036896,0.07251308858394623,0.38689911365509033,0.24990645051002502
Eutanazja powinna być legalna,0.01649363525211811,0.14276836812496185,0.4143353998661041,0.2178007960319519,0.1049279123544693,0.03901059180498123,0.2710430324077606,0.3537437915802002
Religia to opium ludu,0.023016629740595818,0.21849867701530457,0.32619091868400574,0.42766451835632324,0.09505908936262131,0.04392292723059654,0.25163859128952026,0.35232028365135193
Pokojowa współpraca międzynarodowa jest o wiele bardziej opłacalna niż sankcje i przemoc,0.08825284987688065,0.21997570991516113,0.19036774337291718,0.06761953979730606,0.17673099040985107,0.2066974639892578,0.4123760461807251,0.34312713146209717
Interes mojego kraju jest ważniejszy od interesu innych krajów,0.06156781688332558,0.17909438908100128,0.3334929943084717,0.08050020784139633,0.10232234001159668,0.3324531316757202,0.3633650839328766,0.3771660625934601
Ostracyzm społeczeństwa jest bardziej efektywny niż przymus państwowy,0.017549559473991394,0.2010258585214615,0.3404249846935272,0.18508608639240265,0.16780197620391846,0.0530218780040741,0.2974036633968353,0.30095165967941284
Popieram tradycyjny model rodziny,0.2570152282714844,0.024326162412762642,0.020678644999861717,0.013140827417373657,0.0120030976831913,0.3730959892272949,0.6459606885910034,0.17693652212619781
Monarchia to dobry ustrój polityczny i go popieram,0.2040412276983261,0.03519740328192711,0.04156283661723137,0.033608727157115936,0.025968167930841446,0.2630262076854706,0.5865441560745239,0.20921897888183594
Popieram organizacje międzynarodowe takie jak Unia Europejska,0.20918549597263336,0.02200286276638508,0.03462615981698036,0.016566626727581024,0.014913016930222511,0.36570772528648376,0.6027811169624329,0.18977893888950348
"Mój kraj powinien dążyć do zdobycia terenów, które kiedyś posiadał",0.07122775167226791,0.2530806362628937,0.14198598265647888,0.04168086126446724,0.121075339615345,0.2155117392539978,0.41418132185935974,0.29246875643730164
Obowiązkiem każdego obywatela jest obrona ojczyzny,0.13990208506584167,0.0835609957575798,0.03991532698273659,0.015736807137727737,0.060868993401527405,0.38153278827667236,0.5219250321388245,0.272129088640213
Resocjalizacja jest ważniejsza niż kara,0.044388268142938614,0.2481861412525177,0.37165695428848267,0.17001797258853912,0.22720478475093842,0.17204341292381287,0.32485997676849365,0.41333797574043274
Popieram akcje afirmacyjne,0.4406990110874176,0.012508245185017586,0.0136210722848773,0.008181465789675713,0.011022606864571571,0.43644240498542786,0.7240190505981445,0.23189815878868103
Popieram pełną równość płci na wszystkich płaszczyznach życia,0.3339185118675232,0.033772118389606476,0.05982161685824394,0.01657167822122574,0.02136901021003723,0.4732690751552582,0.6286332607269287,0.3483229875564575
Jestem dumny z historii mojego kraju,0.6492639183998108,0.03476671874523163,0.019926004111766815,0.01596396043896675,0.019125167280435562,0.8279043436050415,0.8064606189727783,0.4658762216567993
Laicyzacja kultury jest zjawiskiem pożądanym,0.10922642797231674,0.053252287209033966,0.07851148396730423,0.06559178233146667,0.028866494074463844,0.10255540907382965,0.46000728011131287,0.2131851315498352
"Jeśli mamy przyjąć imigrantów, muszą zostać poddani skrupulatnej selekcji",0.01890029013156891,0.1803542971611023,0.15864457190036774,0.057371195405721664,0.4291376769542694,0.06463205069303513,0.3201434314250946,0.27698105573654175
Przywrócenie kary śmierci to dobry pomysł,0.0978105366230011,0.12319295108318329,0.22524595260620117,0.08980942517518997,0.11789846420288086,0.09421325474977493,0.427043616771698,0.3505748510360718
Opresyjność władzy jest wystarczającym powodem by wszcząć wobec niej bunt,0.010700666345655918,0.2907213866710663,0.5270082354545593,0.25471746921539307,0.2065318077802658,0.03849123418331146,0.21164852380752563,0.35361528396606445
Państwo nie powinno posiadać armii,0.013893353752791882,0.19038672745227814,0.313831627368927,0.12162293493747711,0.16955120861530304,0.0436229445040226,0.30969810485839844,0.2969249188899994
In vitro powinno być refundowane,0.04301835596561432,0.07996349781751633,0.19372834265232086,0.05952020362019539,0.04287632554769516,0.091841921210289,0.4292071461677551,0.255393385887146
"Wszystko w państwie, nic poza państwem, nic przeciw państwu",0.027967825531959534,0.134233757853508,0.36167019605636597,0.16077648103237152,0.0792507752776146,0.09546858817338943,0.3194930851459503,0.32023829221725464
"Władzy totalnej, bądź totalitarnej, nie należy się wystrzegać",0.012938632629811764,0.21081382036209106,0.24156713485717773,0.16048692166805267,0.2388812154531479,0.042243681848049164,0.28581324219703674,0.29377713799476624
"Wiek zgody powinien zostać obniżony, bądź zniesiony",0.018128816038370132,0.1293492168188095,0.15871569514274597,0.05421985685825348,0.08906140923500061,0.04783906787633896,0.3953571021556854,0.20708738267421722
Rozwiązłość seksualna jest niemoralna,0.015200837515294552,0.1970844864845276,0.43487733602523804,0.40644577145576477,0.1101783812046051,0.03064795769751072,0.22696317732334137,0.36075180768966675
Lepszym partnerem jest zawsze osoba tej samej narodowości,0.038249172270298004,0.146117702126503,0.15324096381664276,0.08280489593744278,0.05557231977581978,0.06135673075914383,0.39647242426872253,0.21749775111675262
Państwo powinno aktywnie wspierać zatrudnienie bezrobotnych,0.14875201880931854,0.03404158353805542,0.041868165135383606,0.014158175326883793,0.02630644664168358,0.23870912194252014,0.5517578125,0.18841652572155
Rynek powinien być regulowany w celu ochrony konsumentów,0.03019036166369915,0.06192002445459366,0.1416182518005371,0.0276553425937891,0.06525405496358871,0.08707136660814285,0.43711405992507935,0.20032529532909393
Wolność negatywna jest ważniejsza od równości,0.021677054464817047,0.20655137300491333,0.32482481002807617,0.2272707223892212,0.13289667665958405,0.05780487135052681,0.2849210202693939,0.31372538208961487
Państwo powinno zapewniać osobom w skrajnej biedzie minimum wymagane do przetrwania,0.029793698340654373,0.4212935268878937,0.28565943241119385,0.059142597019672394,0.15316656231880188,0.11189771443605423,0.30840909481048584,0.3352677524089813
Upaństwawianie kluczowych sektorów gospodarki jest korzystne,0.04799482226371765,0.09735520929098129,0.08333516865968704,0.04045814648270607,0.0553009957075119,0.04809868335723877,0.44478633999824524,0.1597311645746231
Wolny rynek korzystnie wpływa na gospodarkę,0.30596235394477844,0.024049634113907814,0.012001242488622665,0.010871929116547108,0.021916702389717102,0.23808686435222626,0.636773407459259,0.14393416047096252
Waluta z parytetem złota jest lepsza od pieniądza fiducjarnego,0.07099393755197525,0.06984180957078934,0.11472178995609283,0.08917835354804993,0.04154791310429573,0.07247859239578247,0.4507025182247162,0.21576610207557678
Rząd powinien zwalczać nierówności w płacach kobiet i mężczyzn,0.02183760516345501,0.1724126636981964,0.2960500717163086,0.05554906278848648,0.11539111286401749,0.054284919053316116,0.35237616300582886,0.2860403060913086
"Rząd powinien ograniczyć import z innych krajów, aby promować producentów krajowych",0.06310047954320908,0.05038382112979889,0.06908300518989563,0.02133718505501747,0.04557390138506889,0.09616828709840775,0.48928582668304443,0.17734849452972412
Podatki to kradzież i docelowo nie powinny istnieć,0.012635895982384682,0.22851096093654633,0.3288310468196869,0.16926860809326172,0.09653890877962112,0.0224649328738451,0.2816820740699768,0.2791323661804199
Podatki powinny być progresywne,0.044063370674848557,0.04692062735557556,0.06626474112272263,0.020659886300563812,0.03876612335443497,0.0818646103143692,0.48668694496154785,0.14620402455329895
Walka o równość klas społecznych jest priorytetem,0.13857831060886383,0.15054364502429962,0.17145398259162903,0.03220965340733528,0.1112288311123848,0.3476480543613434,0.467528373003006,0.38408368825912476
"Emerytura jest kwestią indywidualnego planowania, nie powinna być organizowana przez państwo",0.023715993389487267,0.14415228366851807,0.28145113587379456,0.07343697547912598,0.05979781597852707,0.0498276948928833,0.3542110025882721,0.26780709624290466
Prywatna działalność charytatywna powinna być głównym kanałem pomocy ubogim i potrzebującym,0.26015883684158325,0.05274447053670883,0.017842210829257965,0.007427395321428776,0.02156207151710987,0.29754361510276794,0.6215816140174866,0.19643400609493256
"Licencje, zezwolenia i związki zawodowe są szkodliwe",0.00882205180823803,0.26641830801963806,0.40878111124038696,0.25479257106781006,0.2443239539861679,0.017494691535830498,0.20714175701141357,0.34950318932533264
Związki zawodowe powinny podlegać przepisom obowiązującym każde inne stowarzyszenie,0.02214728482067585,0.07319541275501251,0.2058953046798706,0.04384101927280426,0.04965731129050255,0.07000718265771866,0.3940787613391876,0.21381880342960358
Rząd powinien gwarantować powszechny i darmowy dostęp do opieki zdrowotnej finansowanej z budżetu państwa,0.028803661465644836,0.12323655933141708,0.3167538344860077,0.055962175130844116,0.08152559399604797,0.0998174399137497,0.37814050912857056,0.2911730110645294
Bank centralny musi być w pełni niezależny od władzy wykonawczej,0.029994027689099312,0.0962730124592781,0.1553386002779007,0.032607585191726685,0.08948999643325806,0.08192902058362961,0.4127565324306488,0.23082883656024933
"Silniejsze podmioty gospodarcze, mające dużą przewagę konkurencyjną, powinny podlegać surowym regulacjom",0.02522226981818676,0.12877719104290009,0.08682242035865784,0.04266412928700447,0.2503828704357147,0.04502985626459122,0.393176406621933,0.2094392627477646
Biedni ludzie są biedni w wyniku swoich złych decyzji,0.011314814910292625,0.6642400622367859,0.37534084916114807,0.2265203297138214,0.18344928324222565,0.031049517914652824,0.14549501240253448,0.38984498381614685
Badania naukowe powinny być głównie finansowane przez państwo,0.04717402905225754,0.04150179773569107,0.05356359854340553,0.017071565613150597,0.024001657962799072,0.11835392564535141,0.49704721570014954,0.12462767213582993
Prawo do dziedziczenia powinno zostać zlikwidowane,0.01497519388794899,0.2175220400094986,0.2475050389766693,0.07829975336790085,0.0667039304971695,0.032174933701753616,0.3354966342449188,0.22895897924900055
Własność prywatna powinna zostać zniesiona,0.025540078058838844,0.1211431697010994,0.1733284890651703,0.03791027516126633,0.05438939481973648,0.05704306438565254,0.4053120017051697,0.21757261455059052
Nie jest dopuszczalne ograniczenie własności prywatnej w jakichkolwiek przypadkach,0.022361336275935173,0.09296555072069168,0.1658865213394165,0.04484616965055466,0.05722572281956673,0.06336981058120728,0.408783882856369,0.18488898873329163
"Państwo powinno zajmować się jedynie obroną praw jednostkowych (wojsko, policja, sądy)",0.014019226655364037,0.1727023869752884,0.32708048820495605,0.18695999681949615,0.06127700209617615,0.05141768604516983,0.30905818939208984,0.27378055453300476
Państwo powinno zapewniać najbiedniejszym mieszkanie i godne warunki życia,0.042273279279470444,0.21117828786373138,0.22419530153274536,0.04017191007733345,0.08055971562862396,0.09837974607944489,0.39308738708496094,0.29005640745162964
"Władze powinny zwalczać recesję i wysokie bezrobocie, nawet kosztem wysokiej inflacji",0.011929845437407494,0.33269697427749634,0.4539664387702942,0.13311024010181427,0.3691284954547882,0.03690043464303017,0.21775247156620026,0.3529837429523468
Podwyższenie kwoty wolnej od podatku jest lepszym rozwiązaniem niż wspieranie najbiedniejszych zasiłkami socjalnymi,0.03840852901339531,0.1529301404953003,0.27935439348220825,0.11220802366733551,0.07309295237064362,0.04410208761692047,0.3676914572715759,0.3004809021949768
Państwo powinno organizować budowę strategicznych obiektów,0.05085121840238571,0.05382909998297691,0.0728585347533226,0.01716645620763302,0.04320937395095825,0.1333465278148651,0.4839094579219818,0.16301418840885162
"Od każdego według możliwości, każdemu według potrzeb",0.03175252303481102,0.0726594626903534,0.11976758390665054,0.05316323786973953,0.03462154045701027,0.040015846490859985,0.41267815232276917,0.17578954994678497
